mode,load,0_resnet101-2,1_resnet50-2,2_squeezenet1_0-2
mps-uncap,0.6,21.90113067626953,18.06950569152832,11.52348518371582
mig,0.6,20.470142364501953,17.725706100463867,16.677141189575195
mps-uncap,0.7,19.71602439880371,17.59648323059082,15.704870223999023
mig,0.7,18.023252487182617,13.492345809936523,15.88749885559082
mps-uncap,0.8,22.888660430908203,9.624242782592773,13.027191162109375
mig,0.8,18.83077621459961,16.176700592041016,14.444112777709961
mps-uncap,0.9,23.938894271850586,15.832662582397461,15.969038009643555
mig,0.9,20.65873146057129,17.63916015625,14.628410339355469
mps-uncap,1.0,22.630691528320312,17.292499542236328,15.722274780273438
mig,1.0,19.406795501708984,17.48943328857422,11.797904968261719
mps-uncap,1.1,23.159027099609375,17.451763153076172,16.04628562927246
mig,1.1,18.76044273376465,17.941713333129883,12.222766876220703
mps-uncap,1.2,24.45244789123535,19.12093162536621,16.985654830932617
mig,1.2,20.05290985107422,18.55301856994629,11.749029159545898
mps-uncap,1.3,23.651838302612305,17.923355102539062,17.7004337310791
mig,1.3,22.45807647705078,14.670610427856445,17.343521118164062
