mode,load,0_squeezenet1_1-8,1_squeezenet1_1-8,2_squeezenet1_1-8,3_squeezenet1_1-8
mig,0.1,262.48942800979233,272.8403436819273,266.5100023894972,141.29116644624594
mig,0.2,523.750500476606,522.7653070100071,521.1751880058655,290.8214177554491
mig,0.3,801.6606711085997,795.4468207463018,807.8067408900997,424.18543303005833
mig,0.4,1083.6973820287549,1052.211336202895,1072.3601294556522,586.0571293731672
mig,0.5,1355.292059697467,1328.3879874129987,1305.6983243525704,739.5959879233903
mig,0.6,1597.855130756273,1570.512339034182,1570.2906285012705,853.9531665979835
mig,0.7,1884.8808750131952,1886.9420710326792,1865.8301390854303,1002.8049091296019
mig,0.8,2146.965507006084,2149.2854391958635,2163.5787602482287,1166.5490077847808
mig,0.9,2437.4438755854753,2316.4602092001523,2383.992134551738,1338.219701032966
mig,1.0,2522.2409718152107,2499.494586360576,2501.132550587246,1359.0373126151592
