mode,load,0_squeezenet1_1-8,1_squeezenet1_1-8,2_squeezenet1_1-8,3_squeezenet1_1-8
mig,0.1,5.486679077148439,5.546045303344727,5.709123611450196,7.970333099365234
mig,0.2,7.267355918884278,7.1380615234375,7.228803634643555,11.366605758666992
mig,0.3,8.13136100769043,8.005142211914062,8.234357833862306,12.351179122924805
mig,0.4,8.86225700378418,8.759641647338869,8.914709091186523,14.760994911193846
mig,0.5,10.460376739501953,10.481500625610352,10.390043258666992,17.69163608551025
mig,0.6,14.334678649902344,12.699675559997559,13.385415077209473,20.612120628356934
mig,0.7,18.342208862304688,17.596960067749023,18.122529983520508,30.733823776245117
mig,0.8,24.652981758117676,27.38168239593505,29.358434677124034,50.58014392852783
mig,0.9,87.54816055297853,68.39704513549805,69.91782188415527,252.49550342559817
mig,1.0,3571.944618225098,3308.075261116028,3177.8233051300044,4238.151574134827
