mode,load,0_vgg16-16,1_inception_v3-4,2_resnet18-4
mps-uncap,0.6,424.9951322311051,270.3797769057627,826.6802405259925
mig,0.6,419.13945218432593,272.81267277584476,832.8013931713457
mps-uncap,0.7,509.3170573790304,316.77989281817037,974.0053125475644
mig,0.7,507.2569708073716,318.9568027937632,956.9960346028458
mps-uncap,0.8,555.1356503117943,346.21683038647086,1097.8133596595856
mig,0.8,572.3675762640777,370.9196107203462,1096.3346310179975
mps-uncap,0.9,634.085102000853,325.909386671695,1232.559606128897
mig,0.9,630.6349300550613,405.934325268397,1227.461081056641
mps-uncap,1.0,698.3427137321033,312.0458232411986,1207.13625917154
mig,1.0,694.0426344203302,454.3201093345527,1390.3919142840803
mps-uncap,1.1,779.4343187146573,279.68257073879516,1174.0252979881018
mig,1.1,700.2030029440206,458.33664937042926,1393.5900806687512
mps-uncap,1.2,835.1978947618829,280.85589953140664,1051.70745224826
mig,1.2,703.348707713508,459.33843466450367,1396.1093665616322
mps-uncap,1.3,900.7952874732287,242.48526504006182,1018.5577431540174
mig,1.3,692.5984376304417,459.33632184939347,1352.8885203123618
