mode,load,0_vgg16-16,1_inception_v3-4,2_resnet18-4
mps-uncap,0.6,11.573195457458496,8.77690315246582,2.0856857299804688
mig,0.6,22.071123123168945,8.635520935058594,2.761363983154297
mps-uncap,0.7,11.661410331726074,8.858919143676758,2.049684524536133
mig,0.7,22.06242084503174,8.758068084716797,2.7184486389160156
mps-uncap,0.8,11.617183685302734,8.760571479797363,2.022266387939453
mig,0.8,22.15409278869629,8.649349212646484,2.7289390563964844
mps-uncap,0.9,11.595726013183594,8.929014205932617,2.006053924560547
mig,0.9,22.275209426879883,8.583307266235352,2.74658203125
mps-uncap,1.0,11.620283126831055,8.95547866821289,2.0117759704589844
mig,1.0,22.475242614746094,8.623600006103516,2.778768539428711
mps-uncap,1.1,11.815547943115234,9.037494659423828,1.9986629486083984
mig,1.1,22.512197494506836,8.668184280395508,2.7828216552734375
mps-uncap,1.2,11.749982833862305,10.720252990722656,2.013683319091797
mig,1.2,22.514700889587402,8.653879165649414,2.78472900390625
mps-uncap,1.3,11.942386627197266,15.04051685333252,2.046346664428711
mig,1.3,23.252367973327637,8.696556091308594,2.9740333557128906
