mode,load,0_densenet121-2,1_densenet161-16,2_vgg11-16
mps-uncap,0.8,41.997807025909424,64.57504272460939,11.094927787780762
mps-uncap,0.9,42.45622634887695,63.788094520568855,10.99479675292969
mps-uncap,1.0,42.839412689208984,64.3862247467041,10.915548801422117
mps-uncap,0.5,35.81304073333739,58.17801952362061,11.058721542358395
mps-uncap,0.6,38.64742517471316,60.56036472320556,10.776679515838625
mps-uncap,0.7,40.831825733184814,63.06161880493163,11.125943660736084
mps-uncap,0.1,29.383063316345215,44.72352981567377,11.352357864379885
mps-uncap,0.2,29.624309539794922,45.89638233184814,10.238592624664296
mps-uncap,0.3,28.485362529754635,54.518890380859375,11.082210540771483
mps-uncap,0.4,34.876317977905266,54.19702053070067,11.486368179321293
