mode,load,0_densenet121-2,1_densenet161-16,2_vgg11-16
mps-uncap,0.8,230.43845415115356,751.844265460968,160.1349115371704
mps-uncap,0.9,520.4158878326419,1047.7142906188965,803.3600711822512
mps-uncap,1.0,1657.2049903869631,1852.1868228912351,6108.245871067047
mps-uncap,0.5,30.66747665405273,65.65037965774546,25.55696964263904
mps-uncap,0.6,34.00799036026007,89.78811740875241,28.99283647537245
mps-uncap,0.7,82.09982872009263,191.83033704757636,74.52747106552117
mps-uncap,0.1,10.868072509765648,11.049718856811438,9.159889221191422
mps-uncap,0.2,25.409832000732457,24.903812408447216,11.201851367950438
mps-uncap,0.3,23.71594667434692,36.820745468139535,14.308142662048338
mps-uncap,0.4,24.028024673461886,40.27543783187866,25.69377660751345
