mode,load,0_resnet18-32,1_resnet18-32,2_resnet18-32,3_resnet18-32
mig,0.1,0.0762939453125,0.07779598236083984,0.24518966674805773,0.07486343383789062
mig,0.2,7.221746444702161,6.390571594238281,6.430029869079598,10.992860794067381
mig,0.3,10.706901550292969,11.240196228027344,10.988903045654297,21.969556808471687
mig,0.4,13.27509880065918,12.927293777465819,14.330959320068366,24.102473258972164
mig,0.5,18.573665618896488,19.22869682312012,17.461299896240245,34.157180786132805
mig,0.6,27.971744537353516,28.14185619354248,28.115797042846694,50.72660446166995
mig,0.7,37.81270980834961,37.070155143737786,33.46652984619141,80.00710010528563
mig,0.8,70.68643569946289,54.42070960998536,63.465070724487305,117.32876300811768
mig,0.9,133.54191780090332,94.68207359313969,125.70047378540039,319.2000389099121
mig,1.0,569.1241025924683,835.667610168457,844.9008464813232,948.0834007263184
