mode,load,0_resnet18-32,1_resnet18-32,2_resnet18-32,3_resnet18-32
mig,0.1,239.2376144059854,225.36589241690544,253.08388893548573,116.79302556928519
mig,0.2,496.9942624467386,431.5989054300011,453.9962735943043,230.19770665864738
mig,0.3,700.8214497353397,712.9275727856859,726.6145105420076,379.1243977635534
mig,0.4,997.0967512772493,953.961342136611,934.5567088331715,504.59595817890863
mig,0.5,1200.2036319528845,1192.854772678089,1167.5750539186297,615.5883459774492
mig,0.6,1438.4364782732612,1438.4026901993054,1439.1803831140146,748.9654401029018
mig,0.7,1712.5530226531318,1663.239005946292,1688.7966904734392,914.7301814474781
mig,0.8,1913.6545566916084,1830.0862791757982,1854.9096115630182,1050.3061057366183
mig,0.9,2178.0485397911098,2121.99013786128,2171.211394323245,1142.0863036159565
mig,1.0,2400.5828854199353,2372.744289836536,2399.342743066976,1255.9334103062158
