mode,load,0_vgg11-4,1_vgg13-4,2_vgg19-16
mps-uncap,0.8,109.3449592590332,148.36740493774414,179.41808700561523
mps-uncap,0.9,195.11675834655762,355.1769256591797,616.8069839477539
mps-uncap,1.0,2094.5656299591064,2020.1189517974854,7524.112224578857
mps-uncap,0.5,33.61654281616211,31.252622604370117,65.20295143127441
mps-uncap,0.6,52.62184143066406,46.559810638427734,124.11928176879883
mps-uncap,0.7,74.76115226745605,71.97785377502441,155.472993850708
mps-uncap,0.1,15.656709671020508,18.507719039916992,36.99493408203125
mps-uncap,0.2,16.150712966918945,20.723342895507812,44.68703269958496
mps-uncap,0.3,30.308008193969727,20.901918411254883,73.6539363861084
mps-uncap,0.4,26.210784912109375,24.598121643066406,67.40450859069824
