mode,load,0_vgg11-4,1_vgg13-4,2_vgg19-16
mps-uncap,0.8,11.61189079284668,13.292360305786133,19.00482177734375
mps-uncap,0.9,12.654781341552734,14.114093780517578,19.71449851989746
mps-uncap,1.0,12.765979766845703,14.362144470214846,20.394277572631836
mps-uncap,0.5,9.395599365234373,10.852813720703125,17.391204833984375
mps-uncap,0.6,9.886026382446289,11.991524696350098,18.090581893920902
mps-uncap,0.7,11.181306838989256,12.406110763549805,19.122982025146484
mps-uncap,0.1,3.975987434387207,4.815769195556641,19.16823387145996
mps-uncap,0.2,5.9818267822265625,7.892847061157227,16.148853302001953
mps-uncap,0.3,7.788801193237309,8.803224563598635,16.059398651123047
mps-uncap,0.4,8.390617370605469,10.145974159240724,16.352772712707523
