mode,load,0_vgg11-4,1_vgg13-4,2_vgg19-16
mps-uncap,0.8,338.2820482125324,287.9179288476657,689.4225675188975
mps-uncap,0.9,382.36305690573795,327.640034991769,792.5383417568294
mps-uncap,1.0,416.66618423343914,348.9747157949143,816.1684257754844
mps-uncap,0.5,217.30548632543724,183.81338919889131,448.99386229007746
mps-uncap,0.6,258.88475838440615,222.02626079133287,530.4615822955208
mps-uncap,0.7,307.9470458292257,253.0212131131401,650.993886458109
mps-uncap,0.1,46.84846496187276,36.14490061651358,86.30667006347328
mps-uncap,0.2,87.70661599119524,73.28439904432503,186.74525987122988
mps-uncap,0.3,130.33644971974925,107.18423690431256,272.16645307128846
mps-uncap,0.4,173.62653370521255,143.81300594929615,373.40626760683375
