mode,load,0_inception_v3-8,1_vgg13-2,2_vgg13-32
mps-uncap,0.8,108.62649664498551,133.2008152762885,1440.732095305035
mps-uncap,0.9,123.43273250620307,155.62039087214333,1599.577575458361
mps-uncap,1.0,136.93274519946556,160.2404082164299,1646.0534235745222
mps-uncap,0.5,71.3335984429425,84.94145905079091,890.7847146913383
mps-uncap,0.6,82.30383160937964,104.33579264219945,1077.0750367925903
mps-uncap,0.7,98.44938332207701,122.32183013455267,1287.5043973646514
mps-uncap,0.1,16.68532010213696,16.063308108946917,164.7404661704392
mps-uncap,0.2,27.966017908779214,35.8258668879368,355.7063486875233
mps-uncap,0.3,44.08981404820622,50.56531309889449,554.0542671085868
mps-uncap,0.4,53.991250592617924,71.34251612767154,724.5156518954772
