mode,load,0_mobilenet_v3_small-2,1_squeezenet1_1-4,2_vgg16-2
mps-uncap,0.8,0.00858306884765625,0.00762939453125,0.007867813110351562
mps-uncap,0.9,0.008344650268554688,0.00762939453125,0.00762939453125
mps-uncap,1.0,0.00762939453125,0.0095367431640625,0.007867813110351562
mps-uncap,0.5,0.008106231689453125,0.00762939453125,0.008821487426757812
mps-uncap,0.6,0.008106231689453125,0.007867813110351562,0.007867813110351562
mps-uncap,0.7,0.008344650268554688,0.0073909759521484375,0.007867813110351562
mps-uncap,0.1,0.0095367431640625,0.010251998901367188,0.01049041748046875
mps-uncap,0.2,0.010728836059570312,0.009775161743164062,0.010013580322265625
mps-uncap,0.3,0.008106231689453125,0.009298324584960938,0.010251998901367188
mps-uncap,0.4,0.008821487426757812,0.0095367431640625,0.00858306884765625
