mode,load,0_mobilenet_v3_small-2,1_squeezenet1_1-4,2_vgg16-2
mps-uncap,0.8,2.3055076599121094,0.9577274322509766,1.9183158874511719
mps-uncap,0.9,2.3136138916015625,0.965118408203125,1.920461654663086
mps-uncap,1.0,2.3145675659179688,0.9565353393554688,1.9576549530029297
mps-uncap,0.5,2.2726058959960938,0.9572505950927734,1.9290447235107422
mps-uncap,0.6,2.276182174682617,0.9517669677734375,1.9176006317138672
mps-uncap,0.7,2.2649765014648438,0.9441375732421875,1.922607421875
mps-uncap,0.1,2.355337142944336,0.9934902191162109,1.9288063049316406
mps-uncap,0.2,2.2797584533691406,0.9942054748535156,1.9249916076660156
mps-uncap,0.3,2.3136138916015625,0.9751319885253906,1.9326210021972656
mps-uncap,0.4,2.2475719451904297,0.9620189666748047,1.9261837005615234
