mode,load,0_mobilenet_v3_small-2,1_squeezenet1_1-4,2_vgg16-2
mps-uncap,0.8,2.717256546020508,2.131819725036621,2.5415420532226562
mps-uncap,0.9,2.7284622192382812,2.176046371459961,2.5806427001953125
mps-uncap,1.0,2.7408599853515625,2.254962921142578,2.623319625854492
mps-uncap,0.5,3.9243698120117188,2.4421215057373047,2.4907588958740234
mps-uncap,0.6,3.016996383666993,2.1820068359375,2.5177001953125
mps-uncap,0.7,2.7265548706054688,2.0482540130615234,2.507877349853516
mps-uncap,0.1,6.2274932861328125,2.691793441772461,2.3043155670166016
mps-uncap,0.2,5.971932411193848,2.6706933975219727,2.3469924926757812
mps-uncap,0.3,5.796289443969727,2.7027130126953125,2.4099349975585938
mps-uncap,0.4,4.5108795166015625,2.64737606048584,2.45664119720459
