mode,load,0_mobilenet_v3_small-2,1_squeezenet1_1-4,2_vgg16-2
mps-uncap,0.8,22.658593654632565,15.444338321685791,18.051190376281742
mps-uncap,0.9,29.697952270507763,32.329516410827566,30.66890001296995
mps-uncap,1.0,71.80291175842288,368.3395528793335,90.23404121398926
mps-uncap,0.5,13.980302810668944,8.953166007995609,9.656372070312504
mps-uncap,0.6,14.353730678558348,9.073281288146974,10.010581016540531
mps-uncap,0.7,15.97348928451536,8.766055107116719,11.48623466491699
mps-uncap,0.1,13.369550704956067,5.017862319946289,3.804516792297364
mps-uncap,0.2,16.96397066116333,6.483988761901848,4.980046749114972
mps-uncap,0.3,18.051996231079084,8.186006546020508,6.135730743408202
mps-uncap,0.4,16.688609123229966,9.672012329101559,6.7122411727905185
