mode,load,0_mobilenet_v3_small-2,1_squeezenet1_1-4,2_vgg16-2
mps-uncap,0.8,4.803061485290527,2.6721954345703125,4.196405410766602
mps-uncap,0.9,6.295680999755859,4.503488540649414,6.049633026123047
mps-uncap,1.0,13.792634010314941,228.2094955444336,20.034313201904297
mps-uncap,0.5,3.835916519165039,2.46429443359375,2.494335174560547
mps-uncap,0.6,3.603219985961914,2.270936965942383,2.6319026947021484
mps-uncap,0.7,3.6906003952026367,2.0341873168945312,3.0052661895751953
mps-uncap,0.1,5.943059921264648,2.561330795288086,2.1898746490478516
mps-uncap,0.2,5.887269973754883,2.5789737701416016,2.2208690643310547
mps-uncap,0.3,5.566835403442383,2.617359161376953,2.323150634765625
mps-uncap,0.4,4.567623138427734,2.734541893005371,2.407073974609375
