mode,load,0_mobilenet_v3_small-2,1_squeezenet1_1-4,2_vgg16-2
mps-uncap,0.8,592.9874250504334,1678.4943913588652,601.3491412912646
mps-uncap,0.9,653.8517919659605,1929.2671925513057,680.6264913031429
mps-uncap,1.0,721.8660216261901,2073.691403804029,757.4200980910532
mps-uncap,0.5,369.16324684225737,1042.6324622137038,377.7190626273866
mps-uncap,0.6,437.8116812120536,1251.5014143507972,451.41302075882817
mps-uncap,0.7,510.81072840883365,1485.1288658221758,528.0541358644475
mps-uncap,0.1,73.45367477113116,210.5824184545775,74.91675006273086
mps-uncap,0.2,147.66659025532732,423.91371310638084,153.03499622715933
mps-uncap,0.3,216.65956772436,634.3217512090212,229.55210029278493
mps-uncap,0.4,291.8268357247469,830.2592407512471,298.0604695780594
