mode,load,0_mobilenet_v3_small-2,1_squeezenet1_1-4,2_vgg16-2
mps-uncap,0.8,2.4808645248413086,1.7409324645996094,2.3872852325439453
mps-uncap,0.9,2.5022029876708984,1.8224716186523438,2.4480819702148438
mps-uncap,1.0,2.5365352630615234,1.9462108612060547,2.51007080078125
mps-uncap,0.5,2.539396286010742,1.8804073333740234,2.2563934326171875
mps-uncap,0.6,2.469658851623535,1.7321109771728516,2.2895336151123047
mps-uncap,0.7,2.4509429931640625,1.6355514526367188,2.3093223571777344
mps-uncap,0.1,5.785703659057617,2.475261688232422,2.1321773529052734
mps-uncap,0.2,5.548238754272461,2.4538040161132812,2.1381378173828125
mps-uncap,0.3,4.029750823974609,2.3887157440185547,2.189159393310547
mps-uncap,0.4,3.787517547607422,2.3293495178222656,2.227783203125
