mode,load,0_mobilenet_v3_small-2,1_squeezenet1_1-4,2_vgg16-2
mps-uncap,0.8,38.4368896484375,28.165578842163086,25.602340698242188
mps-uncap,0.9,43.20859909057617,53.34734916687012,41.04495048522949
mps-uncap,1.0,93.13607215881348,387.7747058868408,114.83120918273926
mps-uncap,0.5,22.278308868408203,13.60774040222168,14.318466186523438
mps-uncap,0.6,20.686864852905273,13.669967651367188,21.073102951049805
mps-uncap,0.7,30.532360076904297,14.641046524047852,17.176389694213867
mps-uncap,0.1,15.612602233886719,7.238864898681641,2.919435501098633
mps-uncap,0.2,18.4326171875,8.017539978027344,4.772186279296875
mps-uncap,0.3,20.844221115112305,11.255741119384766,7.510900497436523
mps-uncap,0.4,25.634288787841797,12.366771697998047,10.091304779052734
