mode,load,0_mobilenet_v3_small-2,1_squeezenet1_1-4,2_vgg16-2
mps-uncap,0.8,12.17358112335205,7.408022880554199,10.581493377685549
mps-uncap,0.9,15.227079391479508,14.090108871459968,17.00491905212402
mps-uncap,1.0,39.05556201934815,327.5173664093018,52.57773399353027
mps-uncap,0.5,7.673740386962892,5.236029624938965,4.9921035766601545
mps-uncap,0.6,7.601857185363771,5.021023750305179,5.875921249389648
mps-uncap,0.7,8.195042610168459,4.875349998474122,6.780099868774415
mps-uncap,0.1,8.464527130126957,2.9621124267578134,2.4313926696777344
mps-uncap,0.2,10.966920852661135,4.250311851501465,3.1938076019287114
mps-uncap,0.3,10.788011550903322,4.898142814636231,3.8529872894287105
mps-uncap,0.4,9.660720825195312,5.744218826293944,4.191851615905762
