mode,load,0_densenet169-8,1_resnet34-8,2_vgg13-2
mps-uncap,0.8,9.822607040405273,2.5098323822021484,1.62506103515625
mps-uncap,0.9,9.956836700439453,2.534627914428711,1.630544662475586
mps-uncap,1.0,10.235309600830078,2.644777297973633,1.6570091247558594
mps-uncap,0.5,9.833574295043945,2.506732940673828,1.6238689422607422
mps-uncap,0.6,9.797334671020508,2.503633499145508,1.6269683837890625
mps-uncap,0.7,9.856939315795898,2.505064010620117,1.6224384307861328
mps-uncap,0.1,9.868860244750977,2.5396347045898438,1.6355514526367188
mps-uncap,0.2,9.840011596679688,2.5136470794677734,1.6179084777832031
mps-uncap,0.3,9.703636169433594,2.5107860565185547,1.6269683837890625
mps-uncap,0.4,9.836912155151367,2.536773681640625,1.6264915466308594
