mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,1.0,30.733156204223633,28.798627853393555,7.72404670715332
mig,1.0,30.92970848083496,36.042213439941406,5.404543876647949
