mode,load,0_resnet152-2,1_resnet152-2
mig,0.1,0.012159347534179688,0.011920928955078125
mig,0.2,0.011682510375976562,0.011444091796875
mig,0.3,0.011444091796875,0.011444091796875
mig,0.4,0.010013580322265625,0.011682510375976562
mig,0.5,0.012159347534179688,0.011444091796875
mig,0.6,0.012159347534179688,0.012636184692382812
mig,0.7,0.012636184692382812,0.0133514404296875
mig,0.8,0.01239776611328125,0.016450881958007812
mig,0.9,0.012636184692382812,0.024557113647460938
mig,1.0,0.013828277587890625,0.014543533325195312
