mode,load,0_efficientnet_b6-8,1_resnet34-8,2_squeezenet1_1-4
mps-uncap,0.8,21.024465560913086,7.329702377319336,3.7279129028320312
mps-uncap,0.9,19.90985870361328,8.927106857299805,3.951549530029297
mps-uncap,1.0,20.33209800720215,8.576393127441406,4.14586067199707
mps-uncap,0.5,19.242048263549805,7.328987121582031,4.120826721191406
mps-uncap,0.6,20.545482635498047,7.25555419921875,4.4155120849609375
mps-uncap,0.7,19.637107849121094,6.792783737182617,3.7682056427001953
mps-uncap,0.1,27.460575103759766,6.310462951660156,3.2629966735839844
mps-uncap,0.2,28.064250946044922,6.495475769042969,4.487276077270508
mps-uncap,0.3,25.304317474365234,6.859302520751953,3.6110877990722656
mps-uncap,0.4,26.644229888916016,7.808208465576172,4.286050796508789
