mode,load,0_efficientnet_b6-8,1_resnet34-8,2_squeezenet1_1-4
mps-uncap,0.8,332.2861006713814,1122.572396764166,1416.4570456863535
mps-uncap,0.9,378.9728415843179,1270.0127297846066,1635.5527201233858
mps-uncap,1.0,424.60473522209696,1418.971966979312,1764.436488765985
mps-uncap,0.5,207.25371459020135,707.2377635524559,888.3894359852109
mps-uncap,0.6,248.21923779841035,856.1395726851083,1066.2228854757482
mps-uncap,0.7,300.969139254421,981.6969939217302,1223.4178584765882
mps-uncap,0.1,41.7703269000488,133.76304718263074,176.90845144173923
mps-uncap,0.2,80.35625503524098,294.1261346214485,360.8259830258911
mps-uncap,0.3,128.5652046525626,420.4091124136991,544.6828357738106
mps-uncap,0.4,163.7819748246461,568.7002080093157,726.41314769878
