mode,load,0_alexnet-8,1_resnet152-8,2_vgg13-8
mps-uncap,0.8,1831.208705951724,140.33477274494513,976.9724677941864
mps-uncap,0.9,2082.915858252725,157.20841548419187,1088.7891250659845
mps-uncap,1.0,2334.0805787017875,171.26553058723647,1223.2822384771512
mps-uncap,0.5,1140.5458759765095,89.42796692147269,604.1222124793043
mps-uncap,0.6,1388.4453586727511,110.87417541322718,736.4187235523208
mps-uncap,0.7,1592.6037757300476,126.35525554533172,842.0779853852266
mps-uncap,0.1,240.37068920953715,19.085529092635024,122.0661724060446
mps-uncap,0.2,463.4358638498513,32.008088426273346,244.7457652125602
mps-uncap,0.3,681.907768791651,55.13357379057038,366.6442715970565
mps-uncap,0.4,923.4630620869751,67.88621126677558,497.68780834731973
