mode,load,0_resnet101-16,1_vgg11-2,2_vgg19-32
mps-uncap,0.8,134.51724052429208,28.687834739685062,110.96510887145999
mps-uncap,0.9,366.05215072631836,56.02645874023437,309.24706459045416
mps-uncap,1.0,1593.7441349029539,171.39291763305684,862.3383045196534
mps-uncap,0.5,63.825249671936035,14.461112022399902,46.27373218536377
mps-uncap,0.6,71.06759548187256,15.730476379394533,60.64987182617189
mps-uncap,0.7,78.23886871337892,19.408845901489254,72.45068550109863
mps-uncap,0.1,21.525478363037106,3.449392318725594,22.88317680358887
mps-uncap,0.2,29.61792945861816,6.2046051025390625,30.89203834533693
mps-uncap,0.3,38.974881172180176,10.750675201416016,36.83295249938965
mps-uncap,0.4,41.417074203491225,11.92619800567627,40.90259075164795
