mode,load,0_resnet101-16,1_vgg11-2,2_vgg19-32
mps-uncap,0.8,10.116815567016602,1.3577938079833984,20.30348777770996
mps-uncap,0.9,10.175704956054688,1.367807388305664,20.369291305541992
mps-uncap,1.0,10.308980941772461,1.3685226440429688,20.5080509185791
mps-uncap,0.5,10.116100311279297,1.3492107391357422,20.232200622558594
mps-uncap,0.6,10.024070739746094,1.3756752014160156,20.23458480834961
mps-uncap,0.7,10.115623474121094,1.359701156616211,20.2786922454834
mps-uncap,0.1,10.098934173583984,1.3544559478759766,20.19023895263672
mps-uncap,0.2,10.094404220581055,1.3442039489746094,20.135164260864258
mps-uncap,0.3,10.057449340820312,1.3506412506103516,20.177364349365234
mps-uncap,0.4,10.065555572509766,1.3432502746582031,20.1718807220459
