mode,load,0_alexnet-16,1_inception_v3-2,2_squeezenet1_1-16
mps-uncap,0.8,4.385433197021482,12.114953994750973,6.406600475311278
mps-uncap,0.9,2.940502166748047,12.487335205078125,4.435148239135742
mps-uncap,1.0,2.98283576965332,12.88280963897705,4.427146911621094
mps-uncap,0.5,4.64630126953125,13.042917251586914,6.581811904907224
mps-uncap,0.6,4.619569778442383,12.095191478729248,6.638736724853517
mps-uncap,0.7,4.589300155639648,11.984539031982422,6.493256092071532
mps-uncap,0.1,5.494050979614258,21.39323711395265,6.865139007568359
mps-uncap,0.2,5.279502868652344,20.110185146331787,6.852521896362306
mps-uncap,0.3,4.682769775390625,16.57332420349121,6.539821624755859
mps-uncap,0.4,5.197834968566888,16.045980453491218,6.8861484527587855
