mode,load,0_alexnet-16,1_inception_v3-2,2_squeezenet1_1-16
mps-uncap,0.8,5998.428135161907,174.02284628836242,3232.133590887514
mps-uncap,0.9,6855.922511083319,187.19402543237516,3733.982827904334
mps-uncap,1.0,6631.753223688952,174.76688898164636,4176.0071390712355
mps-uncap,0.5,3849.9053403006637,104.80524646958239,2088.084510424737
mps-uncap,0.6,4607.748303006332,126.07621276305683,2493.6207613906895
mps-uncap,0.7,5365.777212155083,150.25747549291393,2900.4996192818226
mps-uncap,0.1,766.9401254846247,21.00468880874605,436.25928608361244
mps-uncap,0.2,1526.459943411676,39.715302409691176,830.559095537485
mps-uncap,0.3,2291.575942535817,65.4702820091695,1253.2179942839125
mps-uncap,0.4,2994.439100041494,86.51237325518088,1669.8596281110147
