mode,load,0_alexnet-16,1_inception_v3-2,2_squeezenet1_1-16
mps-uncap,0.8,35.19749641418457,188.4939670562744,67.41786003112793
mps-uncap,0.9,283.2205295562744,2602.710723876953,57.888031005859375
mps-uncap,1.0,7970.261812210083,12753.239393234253,229.09259796142578
mps-uncap,0.5,17.677783966064453,46.62823677062988,20.514488220214844
mps-uncap,0.6,17.554521560668945,53.88236045837402,38.519859313964844
mps-uncap,0.7,25.466203689575195,126.39904022216797,49.04818534851074
mps-uncap,0.1,7.28917121887207,28.457164764404297,11.315107345581055
mps-uncap,0.2,12.676239013671875,36.84377670288086,16.029834747314453
mps-uncap,0.3,11.860370635986328,41.13316535949707,17.291545867919922
mps-uncap,0.4,11.374711990356445,42.34576225280762,16.24441146850586
