mode,load,0_alexnet-16,1_inception_v3-2,2_squeezenet1_1-16
mps-uncap,0.8,1.6133785247802734,8.50057601928711,2.2728443145751953
mps-uncap,0.9,1.6298294067382812,8.640050888061523,2.4077892303466797
mps-uncap,1.0,1.6524791717529297,8.663654327392578,3.261566162109375
mps-uncap,0.5,1.6028881072998047,8.51297378540039,2.274751663208008
mps-uncap,0.6,1.6193389892578125,8.522748947143555,2.2754669189453125
mps-uncap,0.7,1.6210079193115234,8.548974990844727,2.271413803100586
mps-uncap,0.1,1.6140937805175781,8.446216583251953,2.421140670776367
mps-uncap,0.2,1.6100406646728516,8.486747741699219,2.285480499267578
mps-uncap,0.3,1.6069412231445312,8.451461791992188,2.2771358489990234
mps-uncap,0.4,1.5368461608886719,8.49151611328125,2.298593521118164
