mode,load,0_alexnet-16,1_inception_v3-2,2_squeezenet1_1-16
mps-uncap,0.8,2.388477325439453,11.230897903442383,4.429340362548828
mps-uncap,0.9,2.646589279174805,11.598777770996092,4.060077667236328
mps-uncap,1.0,2.7060985565185547,12.168717384338379,4.106283187866211
mps-uncap,0.5,2.730131149291992,10.923957824707033,4.411649703979493
mps-uncap,0.6,2.6738166809082036,10.706496238708496,4.400205612182618
mps-uncap,0.7,2.534151077270508,11.003494262695312,4.437375068664551
mps-uncap,0.1,3.272294998168945,19.887542724609375,5.287647247314452
mps-uncap,0.2,3.257942199707032,17.327713966369654,5.432987213134766
mps-uncap,0.3,2.984285354614258,15.346097946166992,5.095481872558594
mps-uncap,0.4,2.8913259506225586,11.554050445556642,4.841089248657227
