mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-16
mig,0.1,6.931266784667964,7.519545555114743
mig,0.2,12.310373783111574,12.815093994140648
mig,0.3,14.981186389923096,15.071129798889158
mig,0.4,14.056019783020023,15.443305969238263
mig,0.5,14.633741378784181,13.790631294250487
mig,0.6,20.522315502166748,19.82185840606691
mig,0.7,26.293368339538546,26.075029373168928
mig,0.8,39.79713678359982,40.6955623626708
mig,0.9,88.07773590087882,64.92089033126832
mig,1.0,959.5741748809816,211.9988584518433
