mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-16
mig,0.1,8.476781845092775,8.8864803314209
mig,0.2,11.940956115722656,12.324666976928711
mig,0.3,13.134932518005371,13.057470321655273
mig,0.4,12.314939498901369,11.765599250793453
mig,0.5,12.106037139892578,10.899353027343755
mig,0.6,14.418840408325195,12.622261047363281
mig,0.7,17.9701328277588,17.064046859741214
mig,0.8,27.108049392700202,24.4774341583252
mig,0.9,45.12693881988528,42.68281459808349
mig,1.0,813.0865097045898,145.82858085632327
