mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-16
mig,0.1,13.94993782043457,14.073312282562256
mig,0.2,18.014771938323978,18.94369125366211
mig,0.3,21.15652084350586,20.66708803176877
mig,0.4,19.566831588745117,20.44302701950073
mig,0.5,19.40062999725342,18.044714927673326
mig,0.6,25.17454624176025,23.959488868713386
mig,0.7,30.97358703613281,30.15330791473387
mig,0.8,44.470291137695305,44.777941703796294
mig,0.9,92.72974491119376,69.08057928085334
mig,1.0,964.2264127731323,216.07245445251465
