mode,load,0_mobilenet_v3_large-16,1_mobilenet_v3_large-16
mig,0.1,320.89162726578036,378.16668102590734
mig,0.2,658.2996449405214,744.9424120502019
mig,0.3,1026.5673730606754,1142.8761218005552
mig,0.4,1358.9344356546221,1541.2690054212958
mig,0.5,1679.2054164698395,1862.767331221355
mig,0.6,2028.3740903739238,2287.443014455421
mig,0.7,2325.1605372597937,2751.006894936868
mig,0.8,2693.692807366545,3100.567128605628
mig,0.9,3029.535590672767,3471.5584777568765
mig,1.0,3403.2612130322864,3825.1514210513756
