mode,load,0_densenet161-16,1_densenet201-2,2_efficientnet_b7-8
mps-uncap,0.8,17.443418502807617,11.997461318969727,15.348196029663086
mps-uncap,0.9,17.434120178222656,12.03298568725586,15.264272689819336
mps-uncap,1.0,17.560482025146484,13.774871826171875,15.516519546508789
mps-uncap,0.5,17.342805862426758,11.946916580200195,15.35940170288086
mps-uncap,0.6,17.35663414001465,12.212038040161133,15.27261734008789
mps-uncap,0.7,17.34137535095215,11.926889419555664,15.356302261352539
mps-uncap,0.1,17.368555068969727,11.929750442504883,15.351057052612305
mps-uncap,0.2,17.46058464050293,12.237787246704102,15.369415283203125
mps-uncap,0.3,17.358064651489258,12.065649032592773,15.360355377197266
mps-uncap,0.4,17.340660095214844,12.176275253295898,15.292644500732422
