mode,load,0_densenet161-16,1_densenet201-2,2_efficientnet_b7-8
mps-uncap,0.8,0.013828277587890625,0.01239776611328125,0.013113021850585938
mps-uncap,0.9,0.013828277587890625,0.01239776611328125,0.013113021850585938
mps-uncap,1.0,0.025510787963867188,0.013589859008789062,0.01430511474609375
mps-uncap,0.5,0.01239776611328125,0.012874603271484375,0.01049041748046875
mps-uncap,0.6,0.011920928955078125,0.013113021850585938,0.013113021850585938
mps-uncap,0.7,0.013113021850585938,0.012159347534179688,0.012159347534179688
mps-uncap,0.1,0.01811981201171875,0.024318695068359375,0.025510787963867188
mps-uncap,0.2,0.013828277587890625,0.014543533325195312,0.015735626220703125
mps-uncap,0.3,0.013828277587890625,0.0133514404296875,0.0133514404296875
mps-uncap,0.4,0.012636184692382812,0.01239776611328125,0.01239776611328125
