mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,1.0,2.2466182708740234,5.021572113037109,4.890918731689453
mig,1.0,1.8665790557861328,5.119085311889648,7.7686309814453125
