mode,load,0_alexnet-8,1_mobilenet_v2-8,2_vgg19-2
mps-uncap,1.0,2.66265869140625,5.47027587890625,5.289793014526367
mig,1.0,2.1169185638427734,5.470991134643555,7.915019989013672
