mode,load,0_vgg19-4,1_densenet201-32,2_squeezenet1_1-8
mps-uncap,1.0,17.232894897460938,75.2570629119873,16.551733016967773
mig,1.0,14.938831329345703,91.77422523498535,9.946107864379883
