mode,load,0_vgg19-4,1_densenet201-32,2_squeezenet1_1-8
mps-uncap,1.0,494.1608700495326,536.4474982622123,1515.5198455985537
mig,1.0,481.51779311702103,367.0189146296337,2396.9502981308638
