mode,load,0_alexnet-4,1_densenet169-4,2_resnet50-16
mps-uncap,0.8,0.0073909759521484375,0.011682510375976562,0.009059906005859375
mps-uncap,0.9,0.007152557373046875,0.011920928955078125,0.010728836059570312
mps-uncap,1.0,0.007152557373046875,0.011444091796875,0.011444091796875
mps-uncap,0.5,0.008344650268554688,0.011920928955078125,0.010251998901367188
mps-uncap,0.6,0.00858306884765625,0.010013580322265625,0.009059906005859375
mps-uncap,0.7,0.007152557373046875,0.011205673217773438,0.010967254638671875
mps-uncap,0.1,0.009775161743164062,0.013589859008789062,0.01239776611328125
mps-uncap,0.2,0.009059906005859375,0.0133514404296875,0.011205673217773438
mps-uncap,0.3,0.008106231689453125,0.012159347534179688,0.011205673217773438
mps-uncap,0.4,0.00762939453125,0.01239776611328125,0.011444091796875
