mode,load,0_alexnet-4,1_densenet169-4,2_resnet50-16
mps-uncap,0.8,1949.19147884027,131.45729663096364,1413.9871237468167
mps-uncap,0.9,2218.196652100159,157.00308711331428,1540.2035735933432
mps-uncap,1.0,2442.4390999798325,172.98992309118205,1743.616079010782
mps-uncap,0.5,1192.2711977415677,82.15502842553336,874.9490491618902
mps-uncap,0.6,1450.9295658386143,103.3966533683018,1049.3418697677605
mps-uncap,0.7,1698.0585913269601,119.80550919423463,1205.0177197637263
mps-uncap,0.1,242.77820832983673,16.70001437633873,171.39846014724392
mps-uncap,0.2,488.03441779298754,34.801866917623634,346.8867791093284
mps-uncap,0.3,739.2094629472338,48.40074789849212,532.1066124369146
mps-uncap,0.4,980.6339669365199,67.9830778688792,712.4181655126214
