mode,load,0_alexnet-4,1_densenet169-4,2_resnet50-16
mps-uncap,0.8,15.558004379272461,145.11895179748535,150.4840850830078
mps-uncap,0.9,29.74247932434082,305.0858974456787,129.32443618774414
mps-uncap,1.0,115.89717864990234,868.7553405761719,959.4547748565674
mps-uncap,0.5,9.073495864868164,50.51898956298828,47.28865623474121
mps-uncap,0.6,12.381553649902344,82.69762992858887,52.71267890930176
mps-uncap,0.7,12.401580810546875,87.89467811584473,64.02277946472168
mps-uncap,0.1,3.681659698486328,42.777299880981445,14.908075332641602
mps-uncap,0.2,4.912137985229492,51.75018310546875,26.259422302246094
mps-uncap,0.3,6.018877029418945,48.242807388305664,27.149438858032227
mps-uncap,0.4,7.019281387329102,47.57809638977051,39.10422325134277
