mode,load,0_resnet50-32,1_squeezenet1_0-2,2_squeezenet1_0-4
mps-uncap,0.6,32.135629653930664,31.043028831481962,11.483812332153326
mig,0.6,89.41018581390381,5.304121971130372,8.48259925842285
mps-uncap,0.7,32.72776603698729,136.1072063446045,21.335601806640625
mig,0.7,123.44021797180177,6.678843498229984,11.99889183044434
mps-uncap,0.8,35.7616424560547,11136.525678634644,38.27061653137208
mig,0.8,262.7917766571045,10.7992172241211,15.365314483642578
mps-uncap,0.9,39.59083557128906,20956.503200531006,75.20174980163574
mig,0.9,599.2209911346437,16.105985641479506,27.346444129943844
mps-uncap,1.0,48.06196689605717,30709.134483337402,3406.867265701294
mig,1.0,707.3362350463868,45.172715187072754,87.43762969970703
mps-uncap,1.1,57.707834243774414,36338.93973827362,10962.361454963684
mig,1.1,7068.935585021973,6947.954082489014,6317.059135437013
mps-uncap,1.2,75.79622268676756,45030.64389228821,21480.851173400883
mig,1.2,16948.770761489868,11819.33102607727,10027.645230293274
mps-uncap,1.3,87.05906867980957,49855.525732040405,31306.574177742004
mig,1.3,17092.832565307617,16282.13829994202,16258.587455749514
