mode,load,0_resnet50-32,1_squeezenet1_0-2,2_squeezenet1_0-4
mps-uncap,0.6,94.66695785522461,104.49981689453125,44.26312446594238
mig,0.6,200.63209533691406,18.07379722595215,26.208162307739258
mps-uncap,0.7,85.09969711303711,310.7481002807617,95.48306465148926
mig,0.7,324.2642879486084,22.701501846313477,33.81037712097168
mps-uncap,0.8,114.53604698181152,12438.403844833374,165.8957004547119
mig,0.8,817.751407623291,30.594348907470703,42.644500732421875
mps-uncap,0.9,86.82584762573242,22853.862524032593,255.80763816833496
mig,0.9,825.136661529541,40.650367736816406,68.30501556396484
mps-uncap,1.0,109.83514785766602,34102.20956802368,3923.902750015259
mig,1.0,966.0124778747559,90.92140197753906,146.60024642944336
mps-uncap,1.1,181.8709373474121,40843.690156936646,12695.521593093872
mig,1.1,8289.205074310303,7722.023248672485,7161.481857299805
mps-uncap,1.2,189.38088417053223,50431.37431144714,23947.989225387573
mig,1.2,18780.216693878174,13078.163623809814,10957.211256027222
mps-uncap,1.3,284.12938117980957,55181.39028549194,34581.24136924744
mig,1.3,19646.099090576172,18235.24761199951,18126.06167793274
