mode,load,0_resnet50-32,1_squeezenet1_0-2,2_squeezenet1_0-4
mps-uncap,0.6,17.1353816986084,6.9332122802734375,3.271818161010742
mig,0.6,38.96176815032959,2.452731132507324,3.8063526153564453
mps-uncap,0.7,16.424179077148438,46.41926288604736,5.018472671508789
mig,0.7,48.89416694641113,2.9811859130859375,4.845976829528809
mps-uncap,0.8,16.809701919555664,6674.238681793213,9.161829948425293
mig,0.8,71.13838195800781,4.075527191162109,5.949139595031738
mps-uncap,0.9,17.68028736114502,11685.243129730225,21.49176597595215
mig,0.9,149.7056484222412,5.547046661376953,10.276436805725098
mps-uncap,1.0,21.957993507385254,17356.531143188477,2185.058832168579
mig,1.0,296.7822551727295,17.40121841430664,28.527259826660156
mps-uncap,1.1,23.208260536193848,19898.17178249359,5715.393304824829
mig,1.1,4937.57176399231,3811.3932609558105,3262.876510620117
mps-uncap,1.2,30.43341636657715,24784.76357460022,11653.609037399292
mig,1.2,9254.257678985596,6502.626180648804,5488.74568939209
mps-uncap,1.3,33.368587493896484,27555.878400802612,17236.314296722412
mig,1.3,9152.391076087952,8910.98928451538,8860.201120376587
