mode,load,0_resnet50-32,1_squeezenet1_0-2,2_squeezenet1_0-4
mps-uncap,0.6,711.1647642814628,657.7436507747019,837.9105274511979
mig,0.6,737.6141084868134,663.6965508908912,824.4969576266893
mps-uncap,0.7,821.2898313538055,771.5216970784679,983.425366673439
mig,0.7,842.4056361541082,749.4114757634688,986.5551030214525
mps-uncap,0.8,950.2048186766349,766.4041345379753,1111.0336792613214
mig,0.8,981.7110781431811,872.6799776131335,1109.3845696256042
mps-uncap,0.9,1072.8883722882765,730.897191539911,1247.9837879512056
mig,0.9,1115.1761034854956,982.7440973696894,1261.9212974624004
mps-uncap,1.0,1243.828095284387,680.8698949510361,1346.7498475066695
mig,1.0,1184.911702124812,1085.5905721992544,1393.8185775119682
mps-uncap,1.1,1285.8969605065006,661.3859270165954,1311.352628253727
mig,1.1,1207.2232033161094,1106.3427389867268,1430.1116141526584
mps-uncap,1.2,1456.5874255223357,583.3087973174812,1214.8260103537066
mig,1.2,1210.8312716981084,1110.6399041152918,1426.8743772249632
mps-uncap,1.3,1559.248049404864,558.824291837033,1101.4580871891633
mig,1.3,1199.5380532950583,1126.536012181244,1422.8188584816508
