mode,load,0_resnet34-32,1_resnet34-32,2_resnet34-32,3_resnet34-32
mig,0.1,0.07715225219726562,4.169368743896533,0.07393360137939453,0.29561519622801574
mig,0.2,11.723232269287111,8.114409446716303,11.406707763671886,25.63347816467285
mig,0.3,16.134929656982433,16.000056266784682,17.25165843963623,25.74160099029541
mig,0.4,24.624800682067878,19.651460647583008,20.759868621826172,38.759183883667
mig,0.5,28.46617698669438,30.088663101196307,31.221580505371108,56.654405593872085
mig,0.6,43.42174530029297,41.790008544921875,37.51893043518068,67.99097061157231
mig,0.7,60.767865180969245,60.562753677368164,62.97650337219239,110.13059616088869
mig,0.8,103.49400043487549,94.48106288909915,92.91768074035645,180.57343959808367
mig,0.9,152.02333927154544,161.30166053771987,234.00354385375977,269.10300254821794
mig,1.0,1678.8597106933596,544.6317911148072,1498.6414909362793,751.416349411011
