mode,load,0_resnet34-32,1_resnet34-32,2_resnet34-32,3_resnet34-32
mig,0.1,139.44757709672615,157.72977261162262,161.15884494421883,82.81339567048944
mig,0.2,293.0272955420488,286.66532079948627,303.92666064496,154.36042947148192
mig,0.3,461.03587232663887,427.60522424114197,440.5770231379345,227.40559711336883
mig,0.4,624.6742115257723,579.2622111257274,603.8922722769561,303.24949778807814
mig,0.5,729.9476215427989,740.7169682669963,719.0044518188636,386.4447376187155
mig,0.6,889.6741130259103,895.3691055724713,884.1196324867138,462.57704086932114
mig,0.7,1056.1229091593073,1001.7892453593496,1077.2660113078994,540.8929239054015
mig,0.8,1242.4083297660648,1169.3016253779558,1147.046889181529,619.6794514268394
mig,0.9,1331.630664257966,1329.4244783758015,1379.655917712138,692.4823516153385
mig,1.0,1508.7438273300104,1457.022469806483,1465.455857287233,774.2589616882626
