mode,load,0_resnet18-32,1_vgg11-16,2_vgg16-8
mps-uncap,0.8,1325.1497306817473,1180.041480869108,421.8451173866907
mps-uncap,0.9,1540.723739065067,1280.7567647462915,484.6936067321936
mps-uncap,1.0,1706.1517761969744,1425.9971794248781,548.6348230012818
mps-uncap,0.5,873.8517325123586,696.9606924250407,267.47252511906447
mps-uncap,0.6,1015.1525020459512,886.5466242612548,318.7515765986285
mps-uncap,0.7,1182.4797344389413,976.4974936641349,380.85375744206505
mps-uncap,0.1,161.39295097940288,141.21390352396213,47.394745734334
mps-uncap,0.2,337.33771402351005,285.63811962711054,102.18305563223291
mps-uncap,0.3,510.94074812561985,444.1484759169576,166.68950114012645
mps-uncap,0.4,637.4701479837104,578.3319333140787,219.58888025150938
