mode,load,0_efficientnet_b5-32,1_mobilenet_v3_large-16,2_mobilenet_v3_small-8
mps-uncap,0.6,132.1021270751953,32.386376857757526,55.868899822235186
mig,0.6,223.9412593841553,38.33822965621949,17.924909591674812
mps-uncap,0.7,89.3714189529419,56.61627292633061,220.7181692123413
mig,0.7,269.6994686126709,55.91135501861573,25.846176147460938
mps-uncap,0.8,99.12124872207636,71.36742115020755,534.6540689468388
mig,0.8,569.5879220962522,67.29021072387695,31.443560123443596
mps-uncap,0.9,118.03866863250714,82.98573493957531,17089.82274532318
mig,0.9,1412.1286606788626,223.50260972976685,66.2335395812988
mps-uncap,1.0,175.4117488861085,271.13927602767944,29126.099667549133
mig,1.0,2642.3994159698477,2229.9178123474126,527.2808647155762
mps-uncap,1.1,176.1584877967835,6670.158793926239,36409.74627971649
mig,1.1,7235.416297912598,7342.383840084076,6317.594232559204
mps-uncap,1.2,396.65865898132324,16851.162838935852,43628.62739086151
mig,1.2,16614.604783058167,15498.167335987091,15087.08631515503
mps-uncap,1.3,379.2071223258972,19835.834999084473,47790.65095424653
mig,1.3,19481.93478584289,20030.491132736206,20044.827003479004
