mode,load,0_efficientnet_b5-32,1_mobilenet_v3_large-16,2_mobilenet_v3_small-8
mps-uncap,0.6,43.663978576660156,21.67963981628418,16.589641571044922
mig,0.6,66.23339653015137,20.894289016723633,15.706300735473633
mps-uncap,0.7,46.09394073486328,27.400732040405273,18.11814308166504
mig,0.7,70.04761695861816,15.624284744262695,11.000633239746094
mps-uncap,0.8,45.11880874633789,21.486282348632812,15.48624038696289
mig,0.8,69.31853294372559,15.184402465820312,6.373882293701172
mps-uncap,0.9,47.467947006225586,20.27416229248047,17.74764060974121
mig,0.9,68.34721565246582,14.465808868408203,10.61558723449707
mps-uncap,1.0,51.08928680419922,24.994611740112305,21.747112274169922
mig,1.0,80.48057556152344,18.486976623535156,18.49985122680664
mps-uncap,1.1,46.29254341125488,28.228759765625,26.957988739013672
mig,1.1,69.6563720703125,16.472339630126953,9.756803512573242
mps-uncap,1.2,43.73359680175781,20.587444305419922,21.70872688293457
mig,1.2,69.19145584106445,16.79086685180664,11.334657669067383
mps-uncap,1.3,50.064802169799805,22.621870040893555,21.198511123657227
mig,1.3,68.38798522949219,14.974117279052734,11.626005172729492
