mode,load,0_efficientnet_b5-32,1_mobilenet_v3_large-16,2_mobilenet_v3_small-8
mps-uncap,0.6,42.9399299621582,17.27417469024657,11.773319244384767
mig,0.6,65.39961814880371,11.1775541305542,5.12242317199707
mps-uncap,0.7,40.11798858642578,18.36643218994141,14.27690029144287
mig,0.7,65.4343318939209,11.073460578918459,4.8543548583984375
mps-uncap,0.8,42.80415058135986,17.6798152923584,11.870932579040527
mig,0.8,65.3935170173645,11.014544963836666,4.646849632263183
mps-uncap,0.9,42.5636100769043,15.713644027709961,14.071416854858391
mig,0.9,65.24248361587524,10.92601776123047,4.526567459106445
mps-uncap,1.0,43.05962085723877,15.728533267974854,14.247045516967773
mig,1.0,65.01671314239502,10.664224624633803,4.539785385131836
mps-uncap,1.1,38.752686977386475,18.55811834335327,15.417213439941406
mig,1.1,63.70157241821289,9.488377571105957,4.4162702560424805
mps-uncap,1.2,38.83719444274902,18.656229972839352,15.49052238464355
mig,1.2,64.8930311203003,9.839546680450436,4.461526870727539
mps-uncap,1.3,41.80440902709961,15.944223403930664,14.500415325164797
mig,1.3,65.2045202255249,10.812883377075197,4.586906433105468
