mode,load,0_efficientnet_b5-32,1_mobilenet_v3_large-16,2_mobilenet_v3_small-8
mps-uncap,0.6,37.29557991027832,5.465149879455566,4.3487548828125
mig,0.6,61.692237854003906,8.150577545166016,4.136562347412109
mps-uncap,0.7,36.205291748046875,5.314826965332031,4.154443740844727
mig,0.7,61.70094013214111,8.15725326538086,4.113197326660156
mps-uncap,0.8,38.50674629211426,5.282402038574219,4.23121452331543
mig,0.8,61.61332130432129,8.156061172485352,4.098653793334961
mps-uncap,0.9,39.25919532775879,5.865335464477539,4.294395446777344
mig,0.9,61.68818473815918,8.159637451171875,4.091501235961914
mps-uncap,1.0,39.63327407836914,6.268024444580078,4.447221755981445
mig,1.0,61.545729637145996,8.277654647827148,4.185676574707031
mps-uncap,1.1,37.11819648742676,5.169153213500977,4.329919815063477
mig,1.1,61.57255172729492,8.189201354980469,4.122734069824219
mps-uncap,1.2,37.24932670593262,7.4710845947265625,6.05320930480957
mig,1.2,61.460018157958984,8.260011672973633,4.153013229370117
mps-uncap,1.3,39.922475814819336,7.367849349975586,6.2607526779174805
mig,1.3,61.72013282775879,8.237600326538086,4.171609878540039
