mode,load,0_efficientnet_b5-32,1_mobilenet_v3_large-16,2_mobilenet_v3_small-8
mps-uncap,0.6,0.01430511474609375,0.011682510375976562,0.012159347534179688
mig,0.6,0.014066696166992188,0.013828277587890625,0.011682510375976562
mps-uncap,0.7,0.01430511474609375,0.014066696166992188,0.013113021850585938
mig,0.7,0.015020370483398438,0.013589859008789062,0.011444091796875
mps-uncap,0.8,0.0152587890625,0.012159347534179688,0.014543533325195312
mig,0.8,0.014543533325195312,0.011920928955078125,0.011205673217773438
mps-uncap,0.9,0.014543533325195312,0.012159347534179688,0.0152587890625
mig,0.9,0.0152587890625,0.013828277587890625,0.011920928955078125
mps-uncap,1.0,0.0152587890625,0.013589859008789062,0.015020370483398438
mig,1.0,0.015974044799804688,0.017881393432617188,0.014781951904296875
mps-uncap,1.1,0.014781951904296875,0.01430511474609375,0.029802322387695312
mig,1.1,0.0152587890625,0.016689300537109375,0.016689300537109375
mps-uncap,1.2,0.014543533325195312,0.022649765014648438,0.014543533325195312
mig,1.2,0.0152587890625,0.019311904907226562,0.014781951904296875
mps-uncap,1.3,0.013828277587890625,0.014781951904296875,0.026702880859375
mig,1.3,0.027179718017578125,0.015020370483398438,0.015020370483398438
