mode,load,0_efficientnet_b5-32,1_mobilenet_v3_large-16,2_mobilenet_v3_small-8
mps-uncap,0.6,207.40771293640137,77.24308967590332,138.5486125946045
mig,0.6,299.6106147766113,60.53566932678223,42.9229736328125
mps-uncap,0.7,124.21512603759766,112.39027976989746,277.07958221435547
mig,0.7,341.3999080657959,91.31336212158203,37.98556327819824
mps-uncap,0.8,152.57930755615234,108.44206809997559,610.6383800506592
mig,0.8,703.5808563232422,104.46310043334961,56.79941177368164
mps-uncap,0.9,181.08224868774414,134.09686088562012,17411.99803352356
mig,0.9,1522.418737411499,277.41193771362305,109.82584953308105
mps-uncap,1.0,261.3976001739502,329.94699478149414,29459.821224212646
mig,1.0,2825.0770568847656,2329.6220302581787,554.7239780426025
mps-uncap,1.1,290.6665802001953,6746.026992797852,36683.520793914795
mig,1.1,7358.518838882446,7437.665224075317,6354.541301727295
mps-uncap,1.2,502.29668617248535,17213.58871459961,44272.38607406616
mig,1.2,16690.993547439575,15661.280632019043,15280.176639556885
mps-uncap,1.3,429.7466278076172,20092.84543991089,48261.13677024841
mig,1.3,20078.242301940918,20110.40949821472,20197.09539413452
