mode,load,0_efficientnet_b5-32,1_mobilenet_v3_large-16,2_mobilenet_v3_small-8
mps-uncap,0.6,241.6987419128418,82.1537971496582,150.18129348754883
mig,0.6,363.6205196380615,68.70245933532715,47.022342681884766
mps-uncap,0.7,161.13042831420898,128.09014320373535,283.31446647644043
mig,0.7,402.437686920166,99.31707382202148,42.04821586608887
mps-uncap,0.8,192.07000732421875,116.53971672058105,618.8135147094727
mig,0.8,764.7185325622559,112.56027221679688,60.89591979980469
mps-uncap,0.9,221.29082679748535,142.38977432250977,17421.007871627808
mig,0.9,1584.0091705322266,285.541296005249,113.89851570129395
mps-uncap,1.0,301.25975608825684,338.1073474884033,29467.244625091553
mig,1.0,2887.1164321899414,2338.0520343780518,559.6168041229248
mps-uncap,1.1,329.2708396911621,6751.081943511963,36687.607526779175
mig,1.1,7419.765949249268,7445.773124694824,6358.699083328247
mps-uncap,1.2,539.4623279571533,17223.29306602478,44294.0948009491
mig,1.2,16752.297401428223,15669.766902923584,15289.094686508179
mps-uncap,1.3,469.94757652282715,20100.335359573364,48282.33528137207
mig,1.3,20139.739274978638,20118.73149871826,20201.22981071472
