mode,load,0_efficientnet_b5-32,1_mobilenet_v3_large-16,2_mobilenet_v3_small-8
mps-uncap,0.6,294.18139308143867,1177.7840649491584,1138.462578024009
mig,0.6,324.3040990721195,1161.4996806777424,1129.1675401307157
mps-uncap,0.7,349.9050439727142,1322.94472562553,1356.4971779241748
mig,0.7,360.22456692331093,1306.282935876948,1336.2299682106245
mps-uncap,0.8,393.6975534014248,1518.1964901570425,1531.8312531906492
mig,0.8,419.99778257894087,1528.343753016114,1505.2250186996816
mps-uncap,0.9,476.0323749064189,1725.500361876112,1388.4315783431534
mig,0.9,463.97899758065404,1747.728645433637,1731.0959391141323
mps-uncap,1.0,509.584330150963,1965.6573803058332,1317.2768471978527
mig,1.0,502.24484115508466,1907.6380528550835,1891.3518134274136
mps-uncap,1.1,555.7365790655801,2015.758986036874,1272.8172917828335
mig,1.1,518.0186307042004,1932.3859891322027,1930.858524643562
mps-uncap,1.2,629.385202552098,1889.6596107645248,1174.95975788821
mig,1.2,518.1547455314327,1918.7911345135483,1915.760570793212
mps-uncap,1.3,662.2037964789916,1968.2603092487218,1138.770792138108
mig,1.3,515.5481289382245,1905.7833065874272,1904.5649868644396
