mode,load,0_efficientnet_b5-32,1_mobilenet_v3_large-16,2_mobilenet_v3_small-8
mps-uncap,0.6,0.028848648071289062,0.1323223114013672,4.105567932128906
mig,0.6,29.304027557373047,3.9309263229370117,1.5718936920166016
mps-uncap,0.7,0.028371810913085938,2.666950225830078,20.23768424987793
mig,0.7,45.03047466278076,6.047964096069336,3.186464309692383
mps-uncap,0.8,0.02849102020263672,5.438089370727539,107.09714889526367
mig,0.8,98.56653213500977,9.413599967956543,4.608392715454102
mps-uncap,0.9,7.150888442993164,8.04591178894043,9031.285524368286
mig,0.9,181.4110279083252,31.421303749084473,10.772466659545898
mps-uncap,1.0,19.3026065826416,27.400851249694824,14757.344245910645
mig,1.0,757.2923898696899,626.4674663543701,182.39188194274902
mps-uncap,1.1,21.396160125732422,3524.637460708618,17885.318279266357
mig,1.1,4657.533645629883,3689.2932653427124,3133.063316345215
mps-uncap,1.2,30.236005783081055,7658.238172531128,20651.03507041931
mig,1.2,6813.802003860474,7525.880694389343,7529.194355010986
mps-uncap,1.3,67.43717193603516,9142.767667770386,22739.230751991272
mig,1.3,9551.396608352661,9884.245872497559,10046.021461486816
